% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 75.46    0.978746      489373         2           wait4
 17.74    0.230136           8     26396           mprotect
  6.79    0.088112           8     10032           mmap
  0.00    0.000020          10         2           munmap
  0.00    0.000003           1         2           gettimeofday
  0.00    0.000000           0         4           read
  0.00    0.000000           0         1           open
  0.00    0.000000           0        20           close
  0.00    0.000000           0         1           stat
  0.00    0.000000           0         3           brk
  0.00    0.000000           0        14           rt_sigaction
  0.00    0.000000           0         3           rt_sigprocmask
  0.00    0.000000           0         1         1 rt_sigreturn
  0.00    0.000000           0         4           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           clone
  0.00    0.000000           0         2           execve
  0.00    0.000000           0         1           setpgid
  0.00    0.000000           0         1         1 rt_sigsuspend
  0.00    0.000000           0         1           sigaltstack
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           futex
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           timer_create
  0.00    0.000000           0         1           timer_settime
  0.00    0.000000           0        30        13 openat
  0.00    0.000000           0        17           newfstatat
  0.00    0.000000           0         2           set_robust_list
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    1.297017          35     36550        17 total
